,iddatosgrasas,codigograsa,aceite_base,espesante,grado_nlgi_consistencia,viscosidad_del_aceite_base_a_40degc_cst,penetracion_de_cono_a_25degc_0.1mm,estabilidad_mecanica,punto_de_soldadura_cuatro_bolas_kgf,desgaste_cuatro_bolas_mm,indice_de_carga-desgaste,carga_timken_ok_lb,resistencia_al_lavado_por_agua_a_80degc,corrosion_al_cobre,registro_nsf,factor_de_velocidad,temperatura_de_servicio_degc_min,temperatura_de_servicio_degc_max,categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura,punto_de_gota_num
19,20,grasa_20,mineral ht,complejo de litio,1.2,400.0,290 - 310,,250.0,,,,,,,,-25,150,grasa,grasa adherente para mecanismos automotrices.,"el producto  grasa lubricante con gran adherencia, excelente resistencia a la humedad, extrema presiã³n y temperaturas bajas y altas.
la composiciã³n de su aceite bã¡sico hidrotratado, espesante de complejo de litio  y aditivada con microparticulas que le proveen de mayor protecciã³n contra el desgaste, la corrosiã³n ademã¡s de excelente estabilidad al trabajo mecã¡nico.","adhesiã³n extrema a elementos mecã¡nicos.
@alta protecciã³n contra la corrosiã³n.
@excelente resistencia a la oxidaciã³n.
@soporte de carga extremo.
@sobresaliente resistencia al lavado por agua.
@buen flujo en baja temperatura.","mecanismos expuestos a medio ambiente.
@rodamientos de ruedas.
@acoplamientos.
@terminales de direcciã³n.
@pivotes de suspensiã³n.",beige claro,adherente,235.0
20,21,grasa_21,mineral,complejo de aluminio,0.0,220.0,460,,315.0,,,40,,,,300000.0,-5,160,grasa,grasa especial para la industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante para aplicaciones generales en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en estas industrias.
el producto estã¡ aprobada por nsf como lubricante tipo h1 para contacto incidental con alimentos.","el producto tiene excelente desempeã±o en la lubricaciã³n de guã­as, correderas, bujes y elementos mecã¡nicos.
@el producto es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.","el producto estã¡ especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana y baja velocidad, en los cuales eventualmente, se pudiera tener perdida de lubricante y este ultimo entre en contacto con los alimentos.
@generalmente se recomienda el producto 0, 00 y 000 para aplicarse en sistemas centralizados de lubricaciã³n y por inmersiã³n para lubricar engranes y rodamientos que asã­ lo requieran.",blanco,suave,110.0
21,22,grasa_22,mineral usp,complejo de aluminio,1.0,100.0,320,3.2,250.0,,,40,3,,,900000.0,-10,160,grasa,grasa especial para la industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
el producto cumple con los lineamientos de la nsf (national sanitation foundation) como lubricante tipo h1 para contacto incidental con alimentos.","evita la formaciã³n de grumos en rodamientos.
@evita el escurrimiento inhibiendo la contaminaciã³n.
@disminuye el consumo de lubricante.
@alta resistencia a la humedad.
@excelentes propiedades antidesgaste.
@desempeã±o sobresaliente en mediana y alta velocidad.","el producto estã¡ especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana y alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@el producto tiene excelente desempeã±o en la lubricaciã³n de guã­as, correderas, bujes y elementos mecã¡nicos, es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",blanco,suave,255.0
22,23,grasa_23,mineral usp,complejo de aluminio,2.0,100.0,275,3.2,250.0,,,40,3,,,900000.0,-10,160,grasa,grasa especial para la industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
el producto cumple con los lineamientos de la nsf (national sanitation foundation) como lubricante tipo h1 para contacto incidental con alimentos.","evita la formaciã³n de grumos en rodamientos.
@evita el escurrimiento inhibiendo la contaminaciã³n.
@disminuye el consumo de lubricante.
@alta resistencia a la humedad.
@excelentes propiedades antidesgaste.
@desempeã±o sobresaliente en mediana y alta velocidad.","el producto estã¡ especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana y alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@el producto tiene excelente desempeã±o en la lubricaciã³n de guã­as, correderas, bujes y elementos mecã¡nicos, es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",blanco,suave,255.0
23,24,grasa_22,mineral usp,complejo de aluminio,3.0,100.0,245,3.2,250.0,,,40,3,,,750000.0,-5,160,grasa,grasa especial para la industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
el producto cumple con los lineamientos de la nsf (national sanitation foundation) como lubricante tipo h1 para contacto incidental con alimentos.","evita la formaciã³n de grumos en rodamientos.
@evita el escurrimiento inhibiendo la contaminaciã³n.
@disminuye el consumo de lubricante.
@alta resistencia a la humedad.
@excelentes propiedades antidesgaste.
@desempeã±o sobresaliente en mediana y alta velocidad.","el producto estã¡ especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana y alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@el producto tiene excelente desempeã±o en la lubricaciã³n de guã­as, correderas, bujes y elementos mecã¡nicos, es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",blanco,suave,255.0
24,25,grasa_24,mineral usp,,1.0,220.0,315,3.9,300.0,,,40,2.5,,,500000.0,-5,160,grasa,grasa especial para la industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores ã¡cidos y desinfectantes utilizados en la industria alimenticia. 
los componentes con los que se utilizan en su elaboraciã³n cumplen con las especificaciones marcadas por la fda como lubricante para contacto accidental con alimentos segãºn el cfr (code of federal regulations, 21 parts 170-19 food additives and related regulations) .","evita la formaciã³n de grumos en rodamientos.
@evita el escurrimiento inhibiendo la contaminaciã³n.
@disminuye el consumo de lubricante.
@alta resistencia a la humedad.
@excelentes propiedades antidesgaste.
@desempeã±o sobresaliente en mediana y alta velocidad.","el producto esta especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana y baja velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@el producto  tiene excelente desempeã±o en la lubricaciã³n de guã­as, correderas, bujes y elementos mecã¡nicos en los cuales las condiciones de contaminaciã³n sean extremas.
@el producto es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",cristalino,suave,260.0
25,26,grasa_25,mineral usp,,2.0,220.0,270,6.3,300.0,,,40,2.5,,,350000.0,-5,160,grasa,grasa especial para la industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores ã¡cidos y desinfectantes utilizados en la industria alimenticia. 
los componentes con los que se utilizan en su elaboraciã³n cumplen con las especificaciones marcadas por la fda como lubricante para contacto accidental con alimentos segãºn el cfr (code of federal regulations, 21 parts 170-19 food additives and related regulations) .","evita la formaciã³n de grumos en rodamientos.
@evita el escurrimiento inhibiendo la contaminaciã³n.
@disminuye el consumo de lubricante.
@alta resistencia a la humedad.
@excelentes propiedades antidesgaste.
@desempeã±o sobresaliente en mediana y alta velocidad.","el producto esta especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana y baja velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@el producto  tiene excelente desempeã±o en la lubricaciã³n de guã­as, correderas, bujes y elementos mecã¡nicos en los cuales las condiciones de contaminaciã³n sean extremas.
@el producto es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",cristalino,suave,270.0
26,27,grasa_26,mineral usp,complejo sulfonato de calcio,1.0,100.0,325,1.4,500.0,0.35,,40,0.02,,154453.0,900000.0,-5,180,grasa,grasa de alta resistencia para industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quã­micos comãºn-mente utilizados en la industria alimenticia. 
se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.","excelente protecciã³n contra el desgaste.
@buena resistencia al lavado por agua, vapores y desinfectantes.
@excelente adherencia a partes metã¡licas en movimiento.
@gran resistencia a la corrosiã³n y herrumbre.","especialmente diseã±ada para la lubricaciã³n de mecanismos de mediana a alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@cuenta con un excelente desempeã±o en la lubricaciã³n de rodamientos, guã­as, correderas, bujes, engranes pequeã±os y elementos mecã¡nicos.
@el producto es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",beige,suave,304.0
27,28,grasa_27,mineral usp,complejo sulfonato de calcio,2.0,100.0,290,1.4,500.0,0.35,,40,0.02,,154453.0,900000.0,-5,180,grasa,grasa de alta resistencia para industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quã­micos comãºn-mente utilizados en la industria alimenticia. 
se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.","excelente protecciã³n contra el desgaste.
@buena resistencia al lavado por agua, vapores y desinfectantes.
@excelente adherencia a partes metã¡licas en movimiento.
@gran resistencia a la corrosiã³n y herrumbre.","especialmente diseã±ada para la lubricaciã³n de mecanismos de mediana a alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@cuenta con un excelente desempeã±o en la lubricaciã³n de rodamientos, guã­as, correderas, bujes, engranes pequeã±os y elementos mecã¡nicos.
@el producto es poco reactiva y totalmente neutra a materiales orgã¡nicos e inorgã¡nicos, metales ferrosos, blandos, plã¡sticos y cauchos.",beige,suave,304.0
28,29,grasa_28,mineral ht,complejo sulfonato de calcio,0.0,3500.0,365,1.6,620.0,0.45,,60,,,,,-5,150,grasa,lubricante especial para engranes de palas mecã¡nicas.,"el producto es un lubricante especial para sistemas de engranajes abiertos sujetos a grandes presiones en aplicaciones de minerã­a.
estã¡ formulado con una mezcla de bã¡sicos de alta viscosidad, aditivos de adherencia asã­ como de extrema presiã³n, antidesgaste, y anti-corrosivos que proveen una pelã­cula lubricante de gran polaridad que previene el contacto entre las superficies de los dientes evitando asã­ el desgaste y aportando alta resistencia a las condiciones medioambientales.","alta polaridad a la superficie de los engrane.
@excelente protecciã³n anti-degaste.
@alto soporte de carga extrema.
@pelã­cula lubricante adhesiva.
@excelente protecciã³n en ambientes agresivos
@mã­nimo escurrimiento en aplicaciã³n.",es recomendado para la lubricaciã³n de engranes y cables de palas mecã¡nicas,negro,viscosa adherente,140.0
29,30,grasa_29,mineral ht,complejo de aluminio - poliurea,1.0,680.0,310,6.5,620.0,0.48,98.0,50,1.45,1a,,200000.0,-10,150,grasa,grasa lubricante con alta resistencia a humedad y medios quã­micos con alto soporte a cargas extremas.,"el producto es un grasa lubricante con propiedades especiales de gran adhesiã³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de aluminio-poliurea.
por sus caracterã­sticas es ideal para la lubricaciã³n de mecanismos que operan en velocidades bajas, ademã¡s proporciona excelentes propiedades de sellado contra los medios hãºmedos y contaminantes agresivos como sustancias alcalinas y acidas.","excelente soporte de carga extrema.
@excelente resistencia al lavado por agua.
@alta resistencia a medios quã­micos agresivos.
@excelente adherencia a partes en movimiento.
@gran protecciã³n contra la corrosiã³n.","lubricaciã³n de rodamientos en:
@procesos de laminaciã³n en caliente y frio.
@mã¡quinas de tratamiento hãºmedo textil.
@secadoras de papel y cartã³n.
@procesos de decapado.",beige,adherente,260.0
30,31,grasa_30,mineral ht,complejo de aluminio - poliurea,1.5,680.0,300,6.5,620.0,0.48,98.0,50,1.45,1a,,200000.0,-5,150,grasa,grasa lubricante con alta resistencia a humedad y medios quã­micos con alto soporte a cargas extremas.,"el producto es un grasa lubricante con propiedades especiales de gran adhesiã³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de aluminio-poliurea.
por sus caracterã­sticas es ideal para la lubricaciã³n de mecanismos que operan en velocidades bajas, ademã¡s proporciona excelentes propiedades de sellado contra los medios hãºmedos y contaminantes agresivos como sustancias alcalinas y acidas.","excelente soporte de carga extrema.
@excelente resistencia al lavado por agua.
@alta resistencia a medios quã­micos agresivos.
@excelente adherencia a partes en movimiento.
@gran protecciã³n contra la corrosiã³n.","lubricaciã³n de rodamientos en:
@procesos de laminaciã³n en caliente y frio.
@mã¡quinas de tratamiento hãºmedo textil.
@secadoras de papel y cartã³n.
@procesos de decapado.",beige,adherente,260.0
31,32,grasa_31,mineral ht,complejo de aluminio - poliurea,2.0,680.0,275,6.5,620.0,0.48,98.0,50,1.45,1a,,200000.0,-5,150,grasa,grasa lubricante con alta resistencia a humedad y medios quã­micos con alto soporte a cargas extremas.,"el producto es un grasa lubricante con propiedades especiales de gran adhesiã³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de aluminio-poliurea.
por sus caracterã­sticas es ideal para la lubricaciã³n de mecanismos que operan en velocidades bajas, ademã¡s proporciona excelentes propiedades de sellado contra los medios hãºmedos y contaminantes agresivos como sustancias alcalinas y acidas.","excelente soporte de carga extrema.
@excelente resistencia al lavado por agua.
@alta resistencia a medios quã­micos agresivos.
@excelente adherencia a partes en movimiento.
@gran protecciã³n contra la corrosiã³n.","lubricaciã³n de rodamientos en:
@procesos de laminaciã³n en caliente y frio.
@mã¡quinas de tratamiento hãºmedo textil.
@secadoras de papel y cartã³n.
@procesos de decapado.",beige,adherente,260.0
32,33,grasa_32,mineral ht,complejo de aluminio - poliurea,3.0,680.0,230,5.2,620.0,0.48,98.0,50,0.32,1a,,200000.0,5,150,grasa,grasa lubricante con alta resistencia a humedad y medios quã­micos con alto soporte a cargas extremas.,"el producto es un grasa lubricante con propiedades especiales de gran adhesiã³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de aluminio-poliurea.
por sus caracterã­sticas es ideal para la lubricaciã³n de mecanismos que operan en velocidades bajas, ademã¡s proporciona excelentes propiedades de sellado contra los medios hãºmedos y contaminantes agresivos como sustancias alcalinas y acidas.","excelente soporte de carga extrema.
@excelente resistencia al lavado por agua.
@alta resistencia a medios quã­micos agresivos.
@excelente adherencia a partes en movimiento.
@gran protecciã³n contra la corrosiã³n.","lubricaciã³n de rodamientos en:
@procesos de laminaciã³n en caliente y frio.
@mã¡quinas de tratamiento hãºmedo textil.
@secadoras de papel y cartã³n.
@procesos de decapado.",beige,adherente,260.0
33,34,grasa_33,mineral,complejo de poliurea,0.0,120.0,415,11,315.0,,,45,,,,400000.0,-15,110,grasa,grasas universal de larga duraciã³n.,"el producto es una grasa lubricante para aplicaciones donde los requerimientos tã©cnicos exigen un rendimiento de larga duraciã³n, estã¡n elaboradas a base de aceites minerales de alta refinaciã³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciã³n, corrosiã³n y carga, logrando con ello excelentes propiedades lubricantes para mãºltiples aplicaciones.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad a la fuerza dinã¡mica y presiã³n.
@excelente protecciã³n contra el desgaste.
@excelente protecciã³n contra la corrosiã³n y herrumbre.
@resistente contra agua, vapor y soluciones ã¡cidas y alcalinas.
@alta adherencia a los metales.","el producto estã¡n formuladas para satisfacer en forma general la lubricaciã³n de rodamientos, cojinetes lisos y mecanismos en lubricaciã³n de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcciã³n, en transportadores, montacargas, imprentas, motores elã©ctricos, mã¡quinas-herramientas, etc.",beige,suave,190.0
34,35,grasa_34,mineral,complejo de poliurea,0.0,120.0,370,11,315.0,,,45,,,,400000.0,-15,110,grasa,grasas universal de larga duraciã³n.,"el producto es una grasa lubricante para aplicaciones donde los requerimientos tã©cnicos exigen un rendimiento de larga duraciã³n, estã¡n elaboradas a base de aceites minerales de alta refinaciã³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciã³n, corrosiã³n y carga, logrando con ello excelentes propiedades lubricantes para mãºltiples aplicaciones.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad a la fuerza dinã¡mica y presiã³n.
@excelente protecciã³n contra el desgaste.
@excelente protecciã³n contra la corrosiã³n y herrumbre.
@resistente contra agua, vapor y soluciones ã¡cidas y alcalinas.
@alta adherencia a los metales.","el producto estã¡n formuladas para satisfacer en forma general la lubricaciã³n de rodamientos, cojinetes lisos y mecanismos en lubricaciã³n de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcciã³n, en transportadores, montacargas, imprentas, motores elã©ctricos, mã¡quinas-herramientas, etc.",beige,suave,230.0
35,36,grasa_35,mineral,complejo de poliurea,1.0,120.0,315,6.2,315.0,,,45,2.5,,,400000.0,-15,110,grasa,grasas universal de larga duraciã³n.,"el producto es una grasa lubricante para aplicaciones donde los requerimientos tã©cnicos exigen un rendimiento de larga duraciã³n, estã¡n elaboradas a base de aceites minerales de alta refinaciã³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciã³n, corrosiã³n y carga, logrando con ello excelentes propiedades lubricantes para mãºltiples aplicaciones.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad a la fuerza dinã¡mica y presiã³n.
@excelente protecciã³n contra el desgaste.
@excelente protecciã³n contra la corrosiã³n y herrumbre.
@resistente contra agua, vapor y soluciones ã¡cidas y alcalinas.
@alta adherencia a los metales.","el producto estã¡n formuladas para satisfacer en forma general la lubricaciã³n de rodamientos, cojinetes lisos y mecanismos en lubricaciã³n de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcciã³n, en transportadores, montacargas, imprentas, motores elã©ctricos, mã¡quinas-herramientas, etc.",beige,suave,235.0
36,37,grasa_36,mineral,complejo de poliurea,1.5,120.0,310,5.8,315.0,,,45,2.4,,,400000.0,-15,110,grasa,grasas universal de larga duraciã³n.,"el producto es una grasa lubricante para aplicaciones donde los requerimientos tã©cnicos exigen un rendimiento de larga duraciã³n, estã¡n elaboradas a base de aceites minerales de alta refinaciã³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciã³n, corrosiã³n y carga, logrando con ello excelentes propiedades lubricantes para mãºltiples aplicaciones.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad a la fuerza dinã¡mica y presiã³n.
@excelente protecciã³n contra el desgaste.
@excelente protecciã³n contra la corrosiã³n y herrumbre.
@resistente contra agua, vapor y soluciones ã¡cidas y alcalinas.
@alta adherencia a los metales.","el producto estã¡n formuladas para satisfacer en forma general la lubricaciã³n de rodamientos, cojinetes lisos y mecanismos en lubricaciã³n de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcciã³n, en transportadores, montacargas, imprentas, motores elã©ctricos, mã¡quinas-herramientas, etc.",beige,suave,235.0
37,38,grasa_37,mineral,complejo de poliurea,2.0,120.0,276,5.3,315.0,,,45,2.4,,,400000.0,-15,110,grasa,grasas universal de larga duraciã³n.,"el producto es una grasa lubricante para aplicaciones donde los requerimientos tã©cnicos exigen un rendimiento de larga duraciã³n, estã¡n elaboradas a base de aceites minerales de alta refinaciã³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciã³n, corrosiã³n y carga, logrando con ello excelentes propiedades lubricantes para mãºltiples aplicaciones.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad a la fuerza dinã¡mica y presiã³n.
@excelente protecciã³n contra el desgaste.
@excelente protecciã³n contra la corrosiã³n y herrumbre.
@resistente contra agua, vapor y soluciones ã¡cidas y alcalinas.
@alta adherencia a los metales.","el producto estã¡n formuladas para satisfacer en forma general la lubricaciã³n de rodamientos, cojinetes lisos y mecanismos en lubricaciã³n de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcciã³n, en transportadores, montacargas, imprentas, motores elã©ctricos, mã¡quinas-herramientas, etc.",beige,suave,235.0
38,39,grasa_38,mineral,complejo de poliurea,3.0,120.0,236,6,315.0,,,45,3.2,,,350000.0,-10,120,grasa,grasas universal de larga duraciã³n.,"el producto es una grasa lubricante para aplicaciones donde los requerimientos tã©cnicos exigen un rendimiento de larga duraciã³n, estã¡n elaboradas a base de aceites minerales de alta refinaciã³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciã³n, corrosiã³n y carga, logrando con ello excelentes propiedades lubricantes para mãºltiples aplicaciones.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad a la fuerza dinã¡mica y presiã³n.
@excelente protecciã³n contra el desgaste.
@excelente protecciã³n contra la corrosiã³n y herrumbre.
@resistente contra agua, vapor y soluciones ã¡cidas y alcalinas.
@alta adherencia a los metales.","el producto estã¡n formuladas para satisfacer en forma general la lubricaciã³n de rodamientos, cojinetes lisos y mecanismos en lubricaciã³n de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcciã³n, en transportadores, montacargas, imprentas, motores elã©ctricos, mã¡quinas-herramientas, etc.",beige,suave,250.0
39,40,grasa_39,mineral ht,complejo sulfonato de calcio,0.0,1500.0,365,4.4,620.0,0.45,,60,3.7,1a,,200000.0,-5,190,grasa,grasa de servicio pesado para alta resistencia tã©rmica y larga duraciã³n.,"el producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tã©rmica y antioxidante. su configuraciã³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciã³n anticorrosiva y caracterã­sticas de soporte de carga y anti-desgaste excep-cionales.","alta estabilidad tã©rmica y antioxidante.
@excelentes caracterã­sticas de lavado por agua y sellado del rodamiento.
@excelente estabilidad de trabajo mecã¡nico.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.","rodamientos expuestos a alta temperatura y cargas mecã¡nicas.
@rodamientos de trenes de laminado de metales.
@rodamientos en condiciones de extremo lavado por agua.",ambar,adherente,304.0
40,41,grasa_40,mineral ht,complejo sulfonato de calcio,1.5,1500.0,300,1,620.0,0.45,,60,0.3,1a,,200000.0,-5,190,grasa,grasa de servicio pesado para alta resistencia tã©rmica y larga duraciã³n.,"el producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tã©rmica y antioxidante. su configuraciã³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciã³n anticorrosiva y caracterã­sticas de soporte de carga y anti-desgaste excep-cionales.","alta estabilidad tã©rmica y antioxidante.
@excelentes caracterã­sticas de lavado por agua y sellado del rodamiento.
@excelente estabilidad de trabajo mecã¡nico.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.","rodamientos expuestos a alta temperatura y cargas mecã¡nicas.
@rodamientos de trenes de laminado de metales.
@rodamientos en condiciones de extremo lavado por agua.",ambar,adherente,304.0
41,42,grasa_41,mineral ht,complejo sulfonato de calcio,2.0,1500.0,280,1,620.0,0.45,,60,0.3,1a,,200000.0,-5,190,grasa,grasa de servicio pesado para alta resistencia tã©rmica y larga duraciã³n.,"el producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tã©rmica y antioxidante. su configuraciã³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciã³n anticorrosiva y caracterã­sticas de soporte de carga y anti-desgaste excep-cionales.","alta estabilidad tã©rmica y antioxidante.
@excelentes caracterã­sticas de lavado por agua y sellado del rodamiento.
@excelente estabilidad de trabajo mecã¡nico.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.","rodamientos expuestos a alta temperatura y cargas mecã¡nicas.
@rodamientos de trenes de laminado de metales.
@rodamientos en condiciones de extremo lavado por agua.",ambar,adherente,304.0
42,43,grasa_42,,complejo de litio,2.0,320.0,270,2.1,900.0,0.4,,60,1.2,1a,,300000.0,-15,150,grasa,grasa para lubricaciã³n de equipo pesado con bisulfuro de molibdeno.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua, alto soporte de carga extrema y lubricantes solidos. 
los aceites y la base de jabã³n complejo de litio especial proporciona una excelente estabilidad mecã¡nica y tã©rmica permitiendo trabajar bajo condiciones extremas de baja y alta temperatura. su paquete de aditivos de extrema presiã³n y anti-desgaste le permiten soportar las cargas mã¡s extremas de equipos fuera de mina ademã¡s de proporcionar protecciã³n anticorrosiva tanto a aleaciones ferrosas como de cobre. 
contiene 5 % de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas de vibraciã³n y carga.","alta estabilidad tã©rmica y anti-oxidante.
@alta resistencia a extrema presiã³n.
@excelente protecciã³n contra el desgaste, corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.
@excelentes caracterã­sticas de lavado por agua.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.",negro,suave,304.0
43,44,grasa_43,mineral hc,complejo de litio,0.0,220.0,350 - 370,8,315.0,0.5,,45,4,,,,-20,90,grasa,grasa lubricante para elementos mecã¡nicos,"el producto es una grasa formulada con aceite base mineral, un espesante de complejo de litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecã¡nica,  tã©rmica y una lubricaciã³n de larga vida.
mantiene protecciã³n anticorrosiva y caracterã­sticas de soporte de carga/anti-desgaste extraordinarias por largos periodos","larga vida de lubricaciã³n.
@amplio rango de temperaturas de operaciã³n.
@excelente capacidad anti-desgaste.
@excelente protecciã³n anti-corrosiva.
@alta estabilidad tã©rmica y antioxidante.",para  lubricar mecanismos de cerraduras sujetas a fricciã³n deslizante con componentes metã¡licos y plã¡sticos,beige,suave adherente,200.0
